Company,Address,Postal code,City,Country,Website,Phone,Online,Physical,Latitude,Longitude,State/Province,,Email
Senn Pro Baby,Breitfeldstrasse 8,9015,St.Gallen,CH,,,X,X,47.408695,9.3115382,,,
myLittlefoot,Lehhaldenstrasse 17,9030,Abtwil,CH,,,X,,47.4303758,9.3229919,,,
Steybe für Kinder,Heerbergstrasse 8,71384,Weinstadt-Endersbach,,https://steybe.de/search?type=product&q=sebra*,,X,X,48.8141694,9.354125,,,
BabySam Viborg,Holstebrovej 81N,8800,Viborg,,,,X,X,56.4466213,9.3647657,,,
Stadtlandkind GmbH,Unterstrasse 4,9000,St. Gallen,CH,,,X,,47.4204738,9.3705607,,,
Lavka Kreativhaus GmbH,Spisergasse 42,9000,St.Gallen,CH,,,,X,47.42442,9.3790262,,,
BabySam Kolding,Egtved Allé 3,6000,Kolding,,,,X,X,55.5164727,9.4603908,,,
HW Baby Center AG,Heuteilstrasse 20,7310,Bad Ragaz,CH,,,X,X,47.0142575,9.5023959,,,
Baby-Rose by Niki's Chur AG,Rossbodenstrasse 17,7000,Chur,CH,,,,X,46.851306,9.5039949,,,
Herzkäfer GmbH,Landstrasse 117,9490,Vaduz,CH,,,,X,47.1547007,9.5102363,,,
BabySam Silkeborg,Nørrevænget 1,8600,Silkeborg,,,,X,X,56.1824128,9.5385504,,,
BabySam Vejle,Solkilde Alle 5A,7100,Vejle,,,,X,X,55.7251737,9.5833559,,,
Spielwaren-u. Bastelshop Pezzoni AG,Bahnhofstrasse 6,9443,Widnau,CH,,,,X,47.4071275,9.6304866,,,
Hjem.dk,Hårup Bygade 14,8600,Silkeborg,DK,https://hjem.dk/shop/3574-sebra/,,,X,56.1526412,9.6452252,,,
Interiorshop,Højmarksvej 34,8723,Løsning,DK,,,,,55.8010284,9.6482342,,,
Interiør A/S,Højmarksvej 34,8723,Løsning,,https://www.interiorshop.dk/shop/sebra-333c1.html,,X,,55.8010284,9.6482342,,,
Spatz & Co. Kinderwelt,Poststrasse 57,7050,Arosa,CH,,,X,X,46.7819837,9.679791,,,
Connox GmbH,,30159,Hannover,,https://www.connox.de/sebra.html,,X,,52.3749839,9.7388153,,,
BabySam Sønderborg,Grundvigs Alle 196B,6400,Sønderborg,,,,X,X,54.9235074,9.8094489,,,
Luksusbaby A/S,Porsborgparken 15,9530,Støvring,,https://luksusbaby.dk/shop/sebra-408c1.html,,X,,56.8922556,9.8154557,,,
BabySam Horsens,Ove Jensens Allé 11D,8700,Horsens,,,,X,X,55.8580542,9.8493838,,,
BabySam Ålborg SV,Hobrovej 440,9200,Aalborg SV,,,,X,X,57.0054817,9.8807184,,,
Luksusbaby,Møllegade 13,9000,Aalborg,DK,https://luksusbaby.dk/shop/sebra-408c1.html,,X,X,57.0461595,9.921965,,,
Salling Ålborg,Nytorv 8,9000,Aalborg,,,,,X,57.0482252,9.9225462,,,
reedit GmbH,Lustenauer Strasse 10,6850,Dornbirn,AT,http://www.ediths.at,,X,X,47.4065497,9.7388214,,,
BABY EXPRESS DI NICOLA GAETA,VIALE DELLA PACE 19,19038,SARZANA,IT,,+39 0187 625933,X,X,44.1116289,9.9568181,,,
Hipster Baby / Estik Bannier GMBH - kun Hipster-baby,,20146,Hamburg,,https://www.hipster-baby.de/produkt-kategorie/marken/sebra/,,X,,53.5688101,9.9819779,,,
Illums Bolighus GmbH,Neuer Wall 54,20354,Hamburg,,,,,X,53.5511275,9.9885776,,,
BabySam Hjørring,Frederikhavnsvej 88,9800,Hjørring,,,,X,X,57.4555742,10.016386,,,
BabySam Randers,Marsvej 47,8960,Randers SØ,,,,X,X,56.428672,10.0605211,,,
BabySam Tilst,Agerøvej 27,8381,Tilst,,,,X,X,56.1823435,10.1122769,,,
BabySam Viby,Ringvej Syd 98 A,8270,Højbjerg,,,,X,X,56.1164609,10.1533631,,,
Petit Bateau,Piazza Garibaldi 2,55042,Forte Dei Marmi,IT,,,X,X,43.9591941,10.1698888,,,
Pixizoo,"Søren Frichsvej 38K, 1. sal",8230,Åbyhøj,DK,https://www.pixizoo.dk/maerker-sebra,,X,,56.153241,10.177108,,,
123 allerlei,Untere Bachgasse 5,87700,Memmingen,,,,,X,47.9851043,10.1804194,,,
Mimmis.no AS,Gneisveien 13,3221,Sandefjord,,https://www.mimmis.no/sebra,,X,,59.1398924,10.1826958,,,
Luksusbaby,Ryesgade 27,Aarhus C,8000,DK,https://luksusbaby.dk/shop/sebra-408c1.html,,X,X,56.1517554,10.2052204,,,
Salling Århus,Søndergade 27,8000,Aarhus C,,,,,X,56.1547167,10.2071588,,,
Salling Online,Søndergade 27,8000,Aarhus C,,https://salling.dk/maerker/legetoej/sebra/c-10042/,,X,,56.1547167,10.2071588,,,
Magasin Århus,Immervad 2-8,8000,Aarhus C,,,,,X,56.1569351,10.2058703,,,
OhDearBaby.no,Søndre Kullerød 8,3241,Sandefjord,NO,http://ohdearbaby.no,+47 96 83 76 46,X,,59.1741913,10.2149921,,,
All About Kids,Mageløs 2 (Indgang fra Klaregade),5000,Odense C,DK,https://allaboutkids.dk/search?q=sebra&options%5Bprefix%5D=last,,X,X,55.3942552,10.3857182,,,
Magasin Odense,Vestergade 20,5000,Odense C,,,,,X,55.3957258,10.3869238,,,
BabySam Odense,Tagtækkervej 8,5230,Odense M,,,,X,X,55.384672,10.4228865,,,
"Skeidar, Asker",Vogellund 31,1394,Nesbru,,https://www.skeidar.no/sok/Index?q=sebra&type=Products&filter=&sort=6&page=2,,X,X,59.8547097,10.4814626,,,
MINIVERDEN AS,Kanadaveien 323,3520,JEVNAKER,,https://www.miniverden.no/collections/sebra,,,X,60.2585784,10.4883691,,,
Verket Interiør AS,Vertshusveien 8afd. Lilleverket,1353,Bærums Verk,,https://verketinterior.no/?s=sebra,,X,X,59.9404178,10.5014603,,,
Bimbidibea Di Romani Beatrice,"Corso Matteotti, 180",57023,Cecina,IT,,,X,X,43.3097854,10.5180634,,,
"Illums Bolighus Norge AS, Vika",Haakon IIV Gate 10,251,Oslo,,https://www.illumsbolighus.no/brand/sebra?start=0&sz=72,,X,X,59.9136856,10.7271384,,,
Illums Bolighus Norge AS Bergen,Strandgaten 20,251,Oslo,,,,,X,59.9102141,10.7497457,,,
LILLIPUT,VIA BRUCETO 65,51010,MASSA E COZZILE,IT,,+39 0572 910092,X,X,43.8786049,10.7585351,,,
Tinga Tango v/Anette Langholm,Kongegade 27 st,5800,Nyborg,,https://www.tingatango.dk/?s=sebra&post_type=product&lang=da,,X,X,55.3115522,10.7914612,,,
"Skeidar, Alnabru",Strømsveien 245,668,Oslo,NO,https://www.skeidar.no/sok/Index?q=sebra&type=Products&filter=&sort=6&page=2,,X,X,59.9265539,10.8480981,,,
Infanzia Oggi,Corso Milano 92/A,37138,Verona,IT,,,X,X,45.4452897,10.9592686,,,
Warenhaus Seelenlust,Webergasse 32,96450,Coburg,,,,,X,50.2599789,10.9639754,,,
HEYKIDDO AS,Raadhusgaten 16,1632,Gamle Fredrikstad,SE,https://www.heykiddo.no/search?q=sebra&submit=S%C3%B8k,,X,X,59.2033185,10.9548898,,,
Dudu Infanzia,Via Alberto Dominutti 6,37135,Verona,IT,,,X,X,45.4261144,10.9924246,,,
BABY LAB,"Viale Piave, 22",59100,Prato,IT,https://www.babylab.it/ricerca?controller=search&s=sebra,,X,X,43.8782765,11.1002133,,,
PAPAVERO VERDE di ASTRID,Via Del Suffragio 57,38122,Trento,IT,,,X,X,46.070882,11.1248626,,,
Helsehuset,Søndergade 15,4900,Nakskov,,,,,X,54.8299877,11.1373392,,,
CENTRO ARREDAMENTI JUNGMANN,"JOSEF-MARIA-PERNTER STRASSE, 12",39044,EGNA,,,+39 0471 099000,X,X,46.3211956,11.2648697,,,
Centro Arredamenti Jungmann,"Josef-Maria-Pernter Strasse, 12",39044,Egna,IT,,,X,X,46.3211956,11.2648697,,,
BABOO KIDS DESIGN DI NADIA CHRISTINA MIGLIORATO &,di Nadia Christina Migliorato & C. S.A.S.Arnolfo 23,50121,Firenze,IT,http://babookidsdesign.com/categoria-prodotto/marchi/sebra/,,X,X,43.7669274,11.2740702,,,
I Baby Srl,Viale Dei Mille 90,50133,Firenze,IT,,,X,X,43.7837141,11.2741895,,,
Babysam Slagelse,Kinavej 1,4200,Slagelse,,,,X,X,55.3893939,11.3299532,,,
Decochic di Dal Dosso Federica,Via Monsignor Pertile 18/2,36016,Thiene (VI),IT,,,,,45.7072737,11.4751099,,,
Decochic di Dal Dosso Federica,Via Monsignor Pertile 18/2,36016,Thiene (VI),IT,,,,,45.7072737,11.4751099,,,
Elke Hell,Eugenstrasse 13,6020,Hall in Tirol,,https://www.diemalermeisterin.at/gestaltung/interior-for-kids/,,X,X,47.2812812,11.5091512,,,
Westwing GmbH,,80809,München,,https://www.westwingnow.fr/brands/sebra/?searched=sebra,,X,,48.1800923,11.5497532,,,
Auryn,Reichenbachstr. 35,80469,München,,https://auryn-shop.com/collections/sebra,,X,X,48.130059,11.5760007,,,
Lili & Milou Kids GmbH & Co KG,Kurfürstenplatz 8,80796,München,,,,,X,48.1601385,11.5755061,,,
Centro Arredamenti Jungmann,"Via Vittorio Veneto, 65",39042,Bressanone,IT,,,X,X,46.7003833,11.647991,,,
CENTRO ARREDAMENTI JUNGMANN,"VIA VITTORIO VENETO, 65",39042,BRESSANONE,,,+39 0472 270000,X,X,46.7003833,11.647991,,,
BabySam Holbæk,Stenhusvej 68D,4300,Holbæk,DK,,,X,X,55.7028208,11.6689098,,,
Cuoregiallo Di Chisso,Via Vittorelli 42,35013,Bassano Del Grappa,IT,,,X,X,45.7674919,11.7346351,,,
BabySam Næstved,Vestergårdsvej 44,4700,Næstved,,,,X,X,55.2546172,11.7952986,,,
BabySam Nykøbing F,Guldborgsundcentret 7,4800,Nykøbing F,,,,X,X,54.758743,11.8506254,,,
Bobini Giocattoli Snc,Via L.B. Alberti 1H,52100,Arezzo,IT,,,X,X,43.4591565,11.875001,,,
SOGNO DEL BAMBINO SRL,VIA ACQUACALDA 25,48022,LUGO,,,+39 0545 23191,X,X,44.4213536,11.9145164,,,
Sogno Del Bambino Srl,Via Acquacalda 25,48022,Lugo,IT,,,X,X,44.4213536,11.9145164,,,
Mariuz Giocattoli,"Via Giuseppe Garibaldi, 33",31033,Castelfranco Veneto,IT,,,X,X,45.6724336,11.9253763,,,
CENTRO ARREDAMENTI JUNGMANN,VIA STEGONA 7,39031,BRUNICO,,,+39 0472 270000,X,X,46.7968599,11.9363755,,,
Centro Arredamenti Jungmann,Via Stegona 7,39031,Brunico,IT,,,X,X,46.7968599,11.9363755,,,
Babysam Backaplan,Backavägen 1,417 05,Göteborg,SE,,,X,X,57.7226356,11.9570313,,,
Storken,Skanstorget 9,411 22,Göteborg,SE,,,,X,57.6952264,11.9575733,,,
SOGNO DEL BAMBINO SRL,VIA FAENTINA 119,48124,RAVENNA,,,+39 0545 23191,X,X,44.4238303,12.1730593,,,
Sogno Del Bambino Srl,Via Faentina 119,48124,Ravenna,IT,,,X,X,44.4238303,12.1730593,,,
BabySam Køge,Støberivej 2,4600,Køge,,,,X,X,55.4784097,12.1873306,,,
Happy Kids Di Geromel Cristina,"Via Sant Agostino, 6",31100,Treviso,IT,,,X,X,45.6665705,12.2495958,,,
Sweden Babyboom AB,Birger Svenssons väg 16E,432 40,Varberg,,,,,X,57.1215146,12.2571077,,,
NANNA O SRL,VIALE VENEZIA 89,31015,CONEGLIANO,,,+39 0438 701756,X,X,45.8716533,12.2793161,,,
BabySam Tåstrup,Mårkærvej 15 D,2630,Taastrup,,,,X,X,55.6577667,12.2860879,,,
BabySam Hillerød,SlotsArkaderneButik 49,3400,Hillerød,,,,X,X,55.9245249,12.2993528,,,
BabySam Herlev,Herlev Hovedgade 33,2730,Herlev,,,,X,X,55.7177487,12.4500474,,,
BabySam Webshop,,2610,Rødovre,,https://www.babysam.dk/maerker-sebra,,X,,55.6889548,12.4492456,,,
BabySam Rødovre,Rødovre Centrum 108,2610,Rødovre,,,,X,X,55.6778708,12.4582607,,,
Piu' Bimbi Srl,Via Luca Della Robbia 36C,153,Roma,IT,,,X,X,41.8791041,12.4777277,,,
Lirum Larum Leg,Engholmvej 16,3100,Hornbæk,Danmark,,,,,56.077754,12.48098,,,
BabySam Valby,Roskildevej 181,2500,Valby,,,,X,X,55.6724095,12.4862173,,,
Illums Bolighus Hørsholm,"Hovedgaden 45, st.",2970,Hørsholm,DK,,,,X,55.8800055,12.4976863,,,
BabySam Lyngby,Klampenborgvej 217,2800,Kongens Lyngby,,,,X,X,55.7711095,12.5066164,,,
Illums bilighus Frederiksberg Centret,Falkoner Allé 21Butiksnummer 4020 på 3 sal,2000,Frederiksberg,,,,,X,55.6835794,12.5366479,,,
BabySam Frederiksberg,Falkoner allé 45,2000,Frederiksberg,,,,X,X,55.6840397,12.5368397,,,
Babysam Vesterbro,Enghavevej 34,1674,København V,,,,X,X,55.668352,12.5444911,,,
Lallo Baby,Via Della Bufalotta n. 863,139,Roma,IT,,,X,X,41.9692198,12.5499459,,,
Lallo Baby,"Viale Sacco e Vanzetti, 139 (Traversa di Viale Palmiro Togliatti, zona Colli Aniene)",155,Roma,IT,,,X,X,41.9099848,12.5694012,,,
Illums Bolighus Tivoli,Tietgensgade 12,1160,København K,DK,,,,X,55.6733814,12.5705179,,,
BabySam Fields,Arne Jacobsens Alle 12,2300,København S,,,,X,X,55.6298578,12.5775568,,,
Magasin Fields,Arne Jacobsens Allé 12 butik25,2300,København S,,,,,X,55.6298578,12.5775568,,,
IBH Fields,"Arne Jacobsens Alle 12, butik 157",2300,København S,,,,,X,55.6298578,12.5775568,,,
BabySam Østerbro,Østerbrogade 162,2100,København Ø,,,,X,X,55.7100078,12.5779019,,,
Illums Bolighus,,1160,København K,DK,https://www.illumsbolighus.dk/brands/sebra,,X,,55.6789238,12.5787244,,,
Illums Bolighus A/S KBH,Amagertorv 10,1160,København K,,,,,X,55.6791793,12.5783867,,,
Magasin du Nord,Kongens Nytorv 13,1095,København K,,,,,X,55.6791813,12.5843617,,,
WELCOME BABY DI CLARISSA MAGGIORE,VIA MARSALA 99/101/103,91026,MAZARA DEL VALLO,,,"3,93296E+11",X,X,37.6600898,12.5944211,,,
Lallo Baby,Via Silicella 113,169,Roma,IT,,,X,X,41.8586454,12.5982112,,,
BabySam Amager,Holmbladsgade 111,2300,København S,,,,X,X,55.6678027,12.6167599,,,
Lallo Baby,via Raffaella La Crociera 1-17 (Angolo via di Tor Vergata 255),133,Roma,IT,,,X,X,41.8425938,12.622727,,,
Baby Pulman Retails Snc,Via Brentella 53/6,33035,Roveredo In Piano,IT,,,X,X,46.00266,12.62635,,,
Illums Bolighus Copenhagen Airport,Tværvej E,2770,Kastrup,DK,,,,X,55.6293255,12.6540345,,,
Legebørsen ApS,,2791,Dragør,,https://legeborsen.dk/,,X,,55.594023,12.660503,,,
kindermaXX GmbH,Harham 85,5760,Saalfelden,,https://www.kindermaxx.at/Sebra/,,X,X,47.3922171,12.8025654,,,
Baby V AB,Åstorpsvägen 7,262 96,Ängelholm,,https://www.babyv.se/sv/trademarks/122/sebra,,X,X,56.1942313,12.8524571,,,
SANITARIA CLA.VI.SAN. SRL,"Via delle Camelie, 86",4100,LATINA,IT,,+39 0773630011,X,X,41.5266285,12.9525294,,,
Illums Bolighus AB-Malmø,Hyllie Stationsväg 22,215 32,Malmø,,https://www.illumsbolighus.se/varumarken/s/sebra,,X,X,55.5645733,12.9739936,,,
BabySam Svågertorp,Långhusgatan 2,215 86,Malmö,SE,,,X,X,55.5518257,12.9855041,,,
Pandolfi S.R.L.,"Viale C. Rossi, 14",61032,Fano,IT,,,X,X,43.8395023,13.02124,,,
SANITARIA CLA.VI.SAN. SRL,VIA DON LUIGI STURZO SNC,4014,PONTINIA,IT,,+39 0773848472,X,X,41.411738,13.0351599,,,
SANITARIA CLA.VI.SAN. SRL,VIA DON LUIGI STURZO SNC,4014,PONTINIA,IT,,,X,X,41.411738,13.0351599,,,
BABYRINGEN AB,Hornyxegatan 9,213 76,Malmö,,,,,X,55.5659188,13.0513689,,,
Blå Shopping AB,Skegrie Kyrkväg 21,231 69,Trelleborg,,https://www.blaelefant.dk/maerker/sebra,,X,X,55.4042931,13.0659464,,,
IL MONDO DEI BAMBINI SRL,STRADA CASILINA KM 62.800 (OSTERIA DELLA FONTANA),3012,ANAGNI,IT,,+39 0775727424,X,X,41.7442112,12.9989281,,,
Pyret & Snäckan,Meteorvägen 6,245 34,Staffanstorp,SE,https://www.pyretosnackan.se/,,X,X,55.6431574,13.230328,,,
Lallo Baby,via APPIA 160/C,4019,Terracina,IT,,,X,X,41.2954765,13.2361848,,,
Lallo Baby,"via per Fiuggi, 205",3100,Frosinone,IT,,,X,X,41.6626275,13.3443349,,,
Scandi Di Alice Lo Nigro,Via Del Bersagliere 41,90143,Palermo,IT,,,X,X,38.1456666,13.3439064,,,
Lentini Bimbi,Via Mariano Stabile 231,90141,Palermo,IT,,,X,X,38.1222094,13.3555076,,,
PAPPA E NINNA SAS,VIA LUNGO LIRI ALDO MORO,3039,SORA,IT,,,X,X,41.718982,13.6137172,,,
Zu Coniglio,Via Dell'aspo 26,63100,Ascoli Piceno,IT,,,X,X,42.84121,13.6219,,,
Gloria Lab Srls,Viale Vittorio Veneto 122,62012,Civitanova Marche,IT,,,X,X,43.3047246,13.7338469,,,
Le Chicche Di Grazia Sas,Via San Francesco A Patria 52,80014,Giugliano In Campania,IT,,,X,X,40.9298508,14.1511065,,,
La Casa Del Bebe',Piazza Del Carmine 204,80133,Napoli,IT,,,X,X,40.8471217,14.2671577,,,
LA MAISON DU BEBE DI MANNA FELICIA,VIA ARENACCIA 273 275,80141,NAPOLI,,,+ 39 081 3428585,X,X,40.8670875,14.2685282,,,
CROCCO PRIMA INFANZIA,VIA NAZIONALE APPIA 261,81020,CASAPULLA,,,+39 0823 467686,X,X,41.0761476,14.2829305,,,
Amodio Bimbi Srl,Via Nazionale Appia 219,81020,Casapulla,IT,,,X,X,41.0751166,14.2854258,,,
Amodio Consiglia Srl,Via Nazionale Appia 12,81100,Casagiove,IT,,,X,X,41.0732532,14.3157392,,,
AMODIO CONSIGLIA SRL,VIA NAZIONALE APPIA 12,81100,CASAGIOVE,,,+39 0823495143,X,X,41.0732532,14.3157392,,,
IL TRENINO DI D'ELIA ARIANNA,VIA 11 SETTEMBRE 2001 34/D,80030,MARIGLIANELLA,IT,,+39 081 8416003,X,X,40.9336797,14.450919,,,
BIBO SRL C/O BELLA BIMBA MEGASTORE,STRADA TAVERNOLA 187,80053,CASTELLAMMARE DI STABIA,,,+39 081 8018587,X,X,40.7080073,14.4885052,,,
Whimsy Castle,"58, Main Street",STJ 1017,St. Julian’s,Malta,https://whimsycastle.mt/brand/sebra-interior/,+356 9989 8290,X,X,35.9157921,14.4929331,,,
Bimbo Esse,Via Appia Km 235,82011,Paolisi,IT,,,X,X,41.0398318,14.5566612,,,
Barnvagnsbutiken Våre Små AB,Köpmangatan 22,702 11,Örebro,SE,,,,X,59.2701881,15.2114893,,,
Tausendschön,Stubenberggasse 9,8010,Graz,,http://www.tausendschoen.co.at,,,X,47.0683259,15.4400119,,,
MOLLURA & C. S.P.A.,"S.S. 114 Km 6,400",,98125 Messina,,https://shop.mohd.it/it/catalogsearch/result/?q=sebra,,X,X,38.1365638,15.5230625,,,
Mohd Mollura Home Deisgn,Strada Statale 114 Km 6 400 S N,98125,Messina,IT,http://mohd.it,,X,,38.1365638,15.5230625,,,
MOHD MOLLURA HOME DEISGN,STRADA STATALE 114 KM 6 400 S N,98125,MESSINA,,http://mohd.it,+39 0239195096,X,,38.1365638,15.5230625,,,
ZEROTREANNI DI MELE MARIA TERESA,VIALE MARCONI 186,85100,POTENZA POTENZ,,,,,X,40.6298616,15.8047971,,,
IL MONDO DEL BAMBINO DI DORY DONOFRIO,VIALE TERMINILLO 4/I,71042,CERIGNOLA,IT,,+39 0885 440426,X,X,41.2656609,15.9163806,,,
Royal Design Group,Porfyrvägen 2,382 92,Nybro,SE,,,,,56.745012,15.907874,,,
AnnikaBaby,Milana Makanca 10,10000,Zagreb,HR,https://shop.annikababy.com/brand/sebra/,,X,X,45.8124777,15.9979187,,,
SERENDIPITA' SRLS,Via Monte santo 41/43,87100,Cosenza CS,,,,,X,39.2954989,16.2536828,,,
Herr und Frau Klein GmbH,Kirchengasse 7/Ecklokal,1070,Wien,,https://herrundfrauklein.com/brands/SEBRA,,X,X,48.1995942,16.3526246,,,
Toysforever,Kaggensgatan 25 C,392 32,Kalmar,SE,,,X,X,56.6639818,16.3616433,,,
BabySam Västerås,Krankroksgatan 5Krankroksgatan 5,721 38,Västerås,,,,X,X,59.6100449,16.459302,,,
LES PETITS DI COLUCCI MYRA,"Via Nazionale, 158 B",75100,Matera,IT,,+39 0835261435,X,X,40.6755992,16.595915,,,
FunBaby,Masarykave 118,664 42,Modrice,CZ,https://funbaby.cz/catalogsearch/result/?q=sebra,,X,X,49.1344129,16.6112391,,,
Mukaki,ul.Cedrowa 1/1,62-070,Dąbrówka,PL,,,,,52.378274,16.742409,,,
Grön form Sundsvall AB,Kolvägen 10,852 29,Sundsvall,,,,,X,62.3869064,17.3211733,,,
SEM DI SANTORO DONATO & C. SAS C/O IO BIMBO,VIA ROMA 281/283,72015,FASANO,IT,,+39 080 439119,X,X,40.84108,17.3588845,,,
BabySam Uppsala,Takpannegatan 21,754 50,Uppsala,SE,,,X,X,59.884807,17.6718639,,,
BabySam Sveavägen,Sveavägen 22,11157,Stockholm,SE,,,X,X,59.3348966,18.0646166,,,
BabySam Kungens Kurva,Jägerhornsväg 6,141 75,Kungens Kurva,SE,https://www.babyworld.se/sv/search?q=sebra&count=72,,X,X,59.2715205,17.9151715,,,
BabySam Sickla,Siroccogatan 21Hansellisgatan 17,131 54,Nacka,,,,X,X,59.3047384,18.127312,,,
BabySam Sisjön,Hantverksvägen 10,436 33,Askim,SE,,,X,X,57.6411803,11.9487452,,,
BabySam Lindköping,Norra Svedengatan 21,58273,Linköping,SE,,,X,X,58.4340841,15.6018267,,,
Petit Stories Stockholm AB,Rörstrandsgatan 24,113 40,Stockholm,SE,https://petitstories.se/search?type=product%2Carticle%2Cpage&q=sebra,,X,X,59.3405419,18.0313762,,,
Babyland Online Nordic AB,Sveavägen 166,113 46,Stockholm,,http://www.babyland.se/sebra,,X,X,59.3509555,18.0484306,,,
Bonti AB (NK),Regeringsgatan 55,113 31,Stockholm,,,,,X,59.3336265,18.0675198,,,
Illums Sverige AB - Täby,Täby Torg 2,215 32,Täby,,,,,X,59.4451804,18.0699688,,,
Smol S.A.L,"St. Elie Center, Bloc A,7th. floor, C/O Philippe Zacca",,,,https://www.smolstore.com,,X,X,33.8559898,35.5375046,,,
"BIURO HANDLOWE ""KASPO"" SP. Z O.O.",Ul. Grunwaldzka 355,80-309,Gdańsk,,https://mamaija.pl,,X,X,54.3977624,18.5781996,,,
MINISTUDIO KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,Bécsi út 314,1037,Budapest,,http://www.ministudio.hu,,X,X,47.571292,19.0170774,,,
Ministudio,Bécsi út 314,,Budapest,HU,,,X,,47.571292,19.0170774,,,
MINIMIND HUNGARY KFT,Práter utca 6-8. B6/3,1083,Budapest,,http://www.minimind.hu,,X,X,47.4869092,19.0711859,,,
PIPPADU HUNGARY KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,NAPSUGÁR UTCA 8,6753,SZEGED,,http://WWW.PIPPADU.HU,,X,,46.2676443,20.1867211,,,
BEBE CONCEPT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚC,KŁOPOT 4 U2.1.,01-066,WARSAW,,https://de.bebeconcept.pl/collections/sebra,,X,X,52.2576514,20.9801145,,,
Bebe Concept,ul. Kłopot 4,01-066,Warschau,PL,,,X,X,52.2575835,20.9801685,,,
WAUVA/Wau Experience Oy,Vuolteenkatu 1,33100,Tampere,,http://www .wauva.com,,X,X,61.4930609,23.7678574,,,
INVICTA SM,ANDREA PAPANDREOY 19,15124,MAROUSI,,http://WWW.THEBABYCITY.GR,,X,X,38.0433355,23.7973656,,,
Invicta,ANDREA PAPANDREOY 19,,MAROUSI,EL,,,X,X,38.0433355,23.7973656,,,
Nordbaby Akropolis Kaunas,Kauno Akropolis Shopping CentreKaraliaus Mindaugo pr. 49,,Kaunas,LT,,,,X,54.89077,23.919353,,,
Nordbaby Riga Plaza,Riga Plaza Shopping CentreMukusalas iela 71,,Riga,EE,,,,X,56.9263822,24.1035358,,,
Nordbaby Akropolis Alfa,Akropole Alfa Shopping CentreBrivibas gatve 372,,Riga,EE,,,,X,56.9825626,24.2037854,,,
Nordbaby Rocca al Mare,Rocca al Mare Shopping CentrePaldiski mnt. 102,,Tallinn,EE,,,,X,59.4343368,24.6384621,,,
4Kids OÜ,Kadaka Tee 4,11316,Taulinn,,http://www.4kids.ee,,X,X,59.4160231,24.6849221,,,
Nordbaby Delta Plazat,Pärnu mnt. 141,,Tallinn,EE,,,,X,59.4026322,24.7307556,,,
Designnut OÜ Shopping mall,Estonia puiestee 9,11314,Tallinn,,https://designnut.ee/sebra-danish-designed-kids-interior/,,,X,59.4331739,24.7516185,,,
Wauva Helsinki,Itämerenkatu 9,180,Helsinki,FI,,+358 50 552 8293,,X,60.1636843,24.9179075,,,
Nordbaby Panorama,Panorama Shopping CentreSaltoniškiu g. 9,,Vilnius,LT,,,,X,54.6870713,25.2814833,,,
ROOM TO GROW,10 MIAOULI STREET,68132,ALEXANDROUPOLI,,https://room-to-grow.gr/,,X,X,40.8443398,25.8753131,,,
ADINISH TRADING S.R.L.,"Aleea Postavarul, Nr.2Bl.E2, Sc.1, Ap.4, Sector 3",31629,Bucharest,,https://adinish.com/collections/sebra-1,,X,,44.4178487,26.167899,,,
Nordbaby Tartu Kaubamaja,Riia tn. 1,,Tartu,EE,,,,X,58.3774972,26.7268997,,,
DEZOR GEE TWO ENTERPRISES LTD,Digeni Akrita 39H,1070,Nicosia,,,,X,X,35.1687164,33.3725544,,,
Motherland LTD,HATAROCHA 3 ST',6350903,Tel-Aviv,,https://motherland.co.il/,,X,X,32.0852999,34.7817676,,,
The Little Prince,Avet Avetisyan 116/5Grigor Lusarovich 7,,Yerevan,AM,https://littleprince.am/en/brand/sebra,,X,X,40.1741177,44.5060819,,,thelittleprinceyerevan@gmail.com
Marmarland General Trading LLC,"Nakheel Mall, 2. floor, Palm Jumeirah Rd",20026,AE-Dubai,,http://www.marmarland.com/193-sebra,,X,,25.1136296,55.1378115,,,
Crate & Barrel,Mall of Emirates,60811,Dubai,AE,,,,X,25.118107,55.200608,,,
Jikel House,"Jumeirah Rd, Umm Suqeim 1",,Dubai,UAE,https://www.jikelhouse.ae/collections/sebra,,X,X,25.1632356,55.2176352,,,
Canaille,74 bis rue Fond Générese,97435,Saint-Paul,FR,http://www.canaille.re,+262 262 59 03 29,X,X,-21.0455322,55.2552592,La Réunion,,
Tavolo Kids Living,"No. 2, 46 Lyndhurst Terrace",,"Central, Hong Kong",CN,https://www.tavolokidsliving.com/pages/sebra-interior,,X,X,22.282422,114.153633,,,
Baby International,,,Shanghai,,,,X,X,31.230416,121.473701,,,
